place_name,province,longitude,latitude,inscription_count,Pleiades_ID
Baali,Numidia,6.281227,35.293467,1,
Bab El Oued,Numidia,3.0497355,36.7906652,2,
Bades / Badias / Badiath / Badiae,Numidia,6.666095,34.7463762,3,
Baghai / Bagai,Numidia,7.1140725,35.5232847,21,
Baida,Numidia,,,4,
Barika,Numidia,5.3705996,35.3845042,4,
Barrania,Numidia,,,1,
Bassenses,Numidia,,,1,
Bata,Numidia,8.2669,36.4883,3,
Batna / Ain Drine,Numidia,6.1767453,35.554404,42,
Bedjene,Numidia,7.4715565,35.3493304,1,
Bedsi,Numidia,,,2,
"Begueur, Fedj el",Numidia,9.90917,35.63306,4,
Beida Bordj,Numidia,5.668675,35.8917585,3,
"Beida, 'Ain el",Numidia,5.39,31.93,31,
Bekkouche Lakhdar,Numidia,7.3041573,36.703288,4,
"Bel Air, Ferme",Numidia,7.0167,36.7833,7,
Bel Arbi,Numidia,0.79141,36.135892,1,
Bel Aroug,Numidia,3.770046,35.432671,2,
Bel Grun,Numidia,,,1,
Bel Khefif,Numidia,,,1,
Bel Kitan,Numidia,,,2,
Belkassem Ben Lakdbar Ben Zian,Numidia,,,2,
Bellaa,Numidia,5.8548589,36.2016792,2,
Ben Bessam,Numidia,,,1,
Ben Guettaf,Numidia,,,1,
Ben Rehab,Numidia,,,1,
Ben Zrib,Numidia,,,1,
Beni Filane,Numidia,6.2,36.25,2,
Benis,Numidia,,,19,
Benyahia Abderrahmane / Gens Suburburum Colonorum,Numidia,6.0131897,36.2318999,44,
Beregli,Numidia,,,2,
Bhiret el-Arneb / Bahiret el-Arneb,Numidia,,,1,
Bir Allouche,Numidia,10.7294444,35.6672222,2,
Bir Bekikia,Numidia,,,1,
Bir Bou Amar / Bir Bu Amar,Numidia,,,1,
Bir Cham,Numidia,,,2,
Bir Chegreff,Numidia,,,9,
Bir Cherchera,Numidia,,,1,
Bir Chouhada,Numidia,6.2933546,35.895447,5,
Bir Fradj,Numidia,,,6,
Bir Lekmine,Numidia,,,1,
Bir Othmane,Numidia,,,2,
Bir Oum Ali / Bir Umm Ali,Numidia,8.316667,35.016667,22,
Bir Sadouri,Numidia,4.9186111,34.8575,1,
Bir Salem,Numidia,8.0634928,35.3907449,4,
Bir Selmoun,Numidia,,,1,
Bir Tendja,Numidia,,,6,
Bir Tunsi,Numidia,,,1,
Bir Uscheghef,Numidia,,,7,
Bir el Atrous,Numidia,3.7233333,35.9966667,4,
Bir el-Arche,Numidia,5.7932008,36.1016103,7,
Bir el-Askaria,Numidia,,,1,
Bir el-Ater / Bahiret el Arneb,Numidia,8.0584012,34.7441882,17,
Bir el-Henchir,Numidia,9.1666667,34.1666667,2,
Bir el-Ugla,Numidia,,,1,
Biskra / Vescera / Bescera,Numidia,5.7286878,34.8508508,4,
Bkira,Numidia,,,18,
Bled Goursi el-Tahtani,Numidia,,,1,
Bled Silate,Numidia,,,1,
Blilia,Numidia,7.8167,35.35,1,
Bordj Bou Akkas,Numidia,,,2,
Bordj El Kiffan / Sidi D'riss,Numidia,3.1908953,36.747273,1,
Bordj Mehris / Oued Mehris,Numidia,,,13,
Bordj R'dir / Bordj Rhedir / Lemellef,Numidia,4.897492,35.90197,5,
Bordj Zaccar,Numidia,,,2,
Bordj el Ksar / Sila,Numidia,6.7256625,36.0831305,351,
Bordj el-Akouas,Numidia,,,1,
Bou Arif,Numidia,6.4394,35.6139,8,
Bou Foua / Ain Foua / Ain Phua / Castellum Phuensium,Numidia,6.229802,36.477837,205,
Bou Ghmaten,Numidia,,,2,
Bou Guechguech / Bou Gguechguech,Numidia,,,36,
Bou Mahris,Numidia,,,2,
Bou Merzoug,Numidia,6.6173745,36.3503714,4,
Bou Ouedjdjheine,Numidia,,,1,
"Bou Said, Hr. / Bu Said, Hr.",Numidia,9.983333,34.266667,5,
"Bou Sboa, Hr.",Numidia,,,2,
Bou Schagroun,Numidia,,,1,
Bou Selaa,Numidia,,,2,
Bou Takrematen / Bou Takrematene,Numidia,,,2,
Bou Tebina,Numidia,7.3386111,35.5183333,6,
Bou Zen Zen,Numidia,,,2,
Bou el-Freis / Bou 'I Freis / Thamugadi,Numidia,,,1,
