place_name,province,longitude,latitude,inscription_count,Pleiades_ID
Ain Toga,Africa proconsularis,,,1,
Ain Tounga / Thignica,Africa proconsularis,9.3576462,36.5226969,436,
"Ain Trab, Hr. / Thugga",Africa proconsularis,9.184551,36.3985045,1,
Ain Wif / Ayn Wif / Thenadassa,Africa proconsularis,13.366667,32.233333,7,
Ain Younes / Thugga,Africa proconsularis,9.3698119,36.4429592,150,
Ain Zakkar,Africa proconsularis,,,1,
Ain Zara / Ayn Zarah,Africa proconsularis,13.266667,32.816667,62,
Ain Zaza,Africa proconsularis,10.1344444,36.5491667,3,
Ain Zenata,Africa proconsularis,,,4,
Ain Zeradou,Africa proconsularis,,,12,
Ain Zeroug / Thugga,Africa proconsularis,9.1071868,36.4530892,1,
Ain Zerred,Africa proconsularis,8.3122222,36.3988889,1,
Ain Zerres / Ain Zeress,Africa proconsularis,,,2,
Ain Zillig / Thugga,Africa proconsularis,9.1868,36.386451,2,
"Ain Zouza, Hr. / Ain Zuza, Hr. / Cuttilula",Africa proconsularis,9.331699,35.970151,9,
Ain al Morra / Thugga,Africa proconsularis,9.222229,36.526609,1,
"Ain ben Abid / Ain el Abid / H'Rich, Hr. / Thugga",Africa proconsularis,9.1715434,36.4396238,7,
Ain el Fallous / Ain Flouss / Bordj Caid Mohamed Ben Sultane / Thugga,Africa proconsularis,9.140475,36.3985105,2,
Ain el Ma Lessoued / El-Ma el-Assoued,Africa proconsularis,8.2666667,35.25,2,
Ain el-Ansarine,Africa proconsularis,,,1,
Ain el-Aueinia / Auru,Africa proconsularis,12.4805556,31.9844444,12,
Ain el-Blate,Africa proconsularis,,,1,
Ain el-Djemala / Ain el-Djemela / Sustri,Africa proconsularis,,,2,
Ain el-Djour / Ayn al-Djour / Gori,Africa proconsularis,,,17,
Ain el-Durrig,Africa proconsularis,,,1,
Ain el-Hmadna / Ain el-Hamedna,Africa proconsularis,,,1,
Ain el-Hout / 'Ain el-Hout,Africa proconsularis,-1.3240277,34.931076,1,
"Ain el-Kouky / Ayn al-Kuki / Kuki, Hr.",Africa proconsularis,9.3833333,35.5333333,3,
Ain el-Kseiba,Africa proconsularis,8.85,35.75,5,
Ain el-Ouargi / Ain el-Ouarghi,Africa proconsularis,,,3,
Ain el-Ramoul / Thugga,Africa proconsularis,9.1401742,36.4260056,2,
"Ain el-Sbir, Hr.",Africa proconsularis,,,1,
Ain el-Toum / Ain et-Toum,Africa proconsularis,,,1,
"Ain en-Snab, Hr. / Ain Sneub / Thugga",Africa proconsularis,9.1315054,36.4215114,1,
"Ain en-Snab, Hr. / Ain Sneub, iuxta / Thugga",Africa proconsularis,9.1234586,36.4121675,1,
Aine el Asker / Rdir el-Soltan / Rdir-es-Soltan / Sutunurca,Africa proconsularis,9.9933221,36.5749807,13,
Akouda / Akkudah / Kalaa-Kebira / Gurza,Africa proconsularis,10.552288,35.8772601,7,
Al Huwariyah / El-Haouria / Haouria / El-Hauaria,Africa proconsularis,11.0117917,37.0534622,4,
Al Irq / El Erg,Africa proconsularis,8.183333,34.016667,1,
Al Masufiyin / El-Masufiyin,Africa proconsularis,12.991325,32.056144,1,
"Al Qaryah al Gharbiyah / el-Gheria, Hr.",Africa proconsularis,13.4142665,30.3888351,7,
Al Qusay'ah / Wadi Gsea / Marconi,Africa proconsularis,13.95,32.483333,4,
Al-Abyar / El-Abiar,Africa proconsularis,20.5945086,32.1896453,1,
Al-Brahama,Africa proconsularis,12.18333,31.93333,1,
Al-Hammah / El-Hamma / Aquae Tacapitanae,Africa proconsularis,9.794514,33.883611,4,
Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis,Africa proconsularis,14.26801,32.652183,922,344448
Al-Miknassi / Al Miknasi / Meknessi,Africa proconsularis,9.6063006,34.6100665,7,
"Alima, Hr.",Africa proconsularis,,,1,
Allalcha,Africa proconsularis,,,1,
Almansurin / Bordj Ali Mansur / Bou Rekba / Ad Mercurium?,Africa proconsularis,10.070786,36.765403,1,
Ameur,Africa proconsularis,10.1380488,36.8285071,1,
Amiraute,Africa proconsularis,3.0688397,36.78737,19,
"Annaba / Bone / Hippone, Ruines d' / Hippo Regius",Africa proconsularis,7.7549272,36.8982165,278,305090
"Anser, Hr.",Africa proconsularis,,,1,
"Antar, Wadi",Africa proconsularis,13.6167,31.2667,1,
"Aouine, Hr. / Aouin",Africa proconsularis,,,1,
Arbaa,Africa proconsularis,,,1,
Argoub el-Bania / Argoub / Thabarca / Tabarka / Thabraca,Africa proconsularis,8.758196,36.954975,275,
Argoub el-Mekesse / Thugga,Africa proconsularis,9.2598498,36.425169,2,
As Sars / Le Sers,Africa proconsularis,9.0211813,36.0774387,3,
Asadi,Africa proconsularis,10.45704,36.420272,1,
Asfour,Africa proconsularis,7.9760642,36.6728695,6,
Askur,Africa proconsularis,,,1,
"Atmen Zarnis, Hr. / Merouana, Hr.",Africa proconsularis,,,1,
Augemmi*,Africa proconsularis,,,1,
Aulodes / Sidi Rais / Sidi ar-Ra'is,Africa proconsularis,9.571439,36.823067,1,
Ayn Darahim / Ain Draham,Africa proconsularis,8.6879637,36.7775099,2,
Ayn Jalulah / Ain Djeloula,Africa proconsularis,9.8041245,35.7944487,4,
"Ayn Maabed / Ain Laabed, Hr. / El-Abed / Pagus Thunigabensis / Thunigaba",Africa proconsularis,9.2126795,36.873168,14,
Az-Zawiyah / El-Zawiyah,Africa proconsularis,12.7264789,32.7626409,2,
Azem / Azzem,Africa proconsularis,6.4722222,35.7544444,3,
Azzaba / Jemmapes,Africa proconsularis,7.1083637,36.7409382,4,
B'hairt Simindja,Africa proconsularis,,,9,
Badrouna,Africa proconsularis,,,2,
"Baghla, Hr. el / Thugga",Africa proconsularis,9.4168666,36.4768613,19,
"Baghla, Hr. el, iuxta (1) / Thugga",Africa proconsularis,9.4317426,36.4827935,1,
"Baghla, Hr. el, iuxta (2) / Thugga",Africa proconsularis,9.4028625,36.4709243,1,
Bahara,Africa proconsularis,,,1,
Bahran / Bordj Bahran / Inuca,Africa proconsularis,10.012412,36.728132,1,
Bani Hassan / Beni Hassan,Africa proconsularis,10.8084675,35.5673752,2,
Bani Waled / Bani Walid,Africa proconsularis,14.053676,31.7975831,2,
Bargou / Rab Silyanah,Africa proconsularis,9.5668097,36.0914159,1,
Barj M'Raou / Bordj M'Raou,Africa proconsularis,8.316667,36.283333,58,
"Baroud / el-Baroud, Hr. / Ammaedara",Africa proconsularis,,,3,
"Barusch, Hr.",Africa proconsularis,,,1,
"Barut, Hr.",Africa proconsularis,,,2,
"Barza, Hr. / Ain Tella / Ain el-Tell / Thugga",Africa proconsularis,9.3108055,36.379736,9,
"Batoum, Hr. / Battoum, Hr. / Thugga",Africa proconsularis,9.34676,36.52944,3,
"Baya, Hr.",Africa proconsularis,,,2,
"Bazzina, Hennchir",Africa proconsularis,7.9333,35.1833,2,
"Bechateur / Bechater / Bou Chater, Hr. / Sidi Mansour el-Daoud / Sidi Mansour ed-Daoud / Thisi",Africa proconsularis,9.74315266,37.306413,7,
Bechina,Africa proconsularis,,,1,
Bechri / Ksar Bechri,Africa proconsularis,8.7715241,33.7922442,2,
"Bedjar, Hr. / Vazari",Africa proconsularis,9.579189,36.872048,18,
Bedji / Thacia,Africa proconsularis,9.050218,36.30267,25,
"Behaia, Hr. / Biha Bilta",Africa proconsularis,9.58426,36.925886,7,
"Behir, Bi'r",Africa proconsularis,10.65,32.9666667,1,
"Beja / Bajah / Bedja / Ain Sabbah, Hr. / Ayn as-Sabbah / Vaga",Africa proconsularis,9.1814915,36.7270373,89,
Bekkaria / Theveste,Africa proconsularis,8.2407034,35.3746584,3,
Bel Amar,Africa proconsularis,,,8,
"Bel Khassem, Hr. / Thugga",Africa proconsularis,9.2400113,36.4066125,2,
Belab,Africa proconsularis,,,7,
Belalis Maior,Africa proconsularis,9.257906,36.764997,62,
"Belda, Hr. el",Africa proconsularis,8.9733,36.0339,7,
Belkacem-ben-Amar / Belkassem Ben Amar,Africa proconsularis,,,6,
Belli / Balli / Beled Belli,Africa proconsularis,10.5539603,36.569187,5,
"Ben Anes, Hr.",Africa proconsularis,,,1,
"Ben Auedi, Hr.",Africa proconsularis,,,1,
"Ben Chrifa, Hr.",Africa proconsularis,,,1,
"Ben Dreje, Hr.",Africa proconsularis,,,2,
"Ben Gasom Ben Nasser, Hr. / Ben Gassem Ben Nasser",Africa proconsularis,,,6,
Ben Ghilouf / Sidi Ben Kralouf / Sidi Ben Khelouf / Sidi Ben Ghalouf / Sidi Ben Rhelouf / Mengallou,Africa proconsularis,9.61916,33.88114,50,
"Ben Glaya, Hr. / Ben Glaia",Africa proconsularis,,,5,
"Ben Hassen, Hr. / Furc[]",Africa proconsularis,10.372778,36.541389,3,
"Ben Hdid, Hr. / Thugga",Africa proconsularis,9.3404249,36.5225194,3,
"Ben Ismail, Hr.",Africa proconsularis,9.237957,36.3991783,1,
"Ben Ismail, Hr. / Bou Ismail, Hr. / Thugga",Africa proconsularis,9.2327361,36.4068686,3,
"Ben Khelil, 'Ain",Africa proconsularis,6.2794444,35.0408333,10,
Ben M'hidi / Ben Mehidi / Morris,Africa proconsularis,7.9053142,36.7704579,2,
Ben Mansoura,Africa proconsularis,9.4794,35.8131,3,
Ben Messaoud,Africa proconsularis,,,1,
"Ben Mrad, Hr.",Africa proconsularis,8.504745,35.624885,2,
"Ben Ouaoua, Hr. / Thugga",Africa proconsularis,9.2419267,36.4201335,5,
"Ben Redjeb, Hr. / Berjeb, Hr. / Thugga",Africa proconsularis,9.2385774,36.4269392,6,
"Ben Sadun, Hr.",Africa proconsularis,,,1,
"Ben-Ergueia, Hr. / Er-Regaigue / Sustri",Africa proconsularis,9.29794,36.547633,13,
"Benaienni, Hr.",Africa proconsularis,,,1,
Benbla,Africa proconsularis,,,1,
"Beni Darradji, Hr.",Africa proconsularis,,,1,
Beni Khalled / Chul,Africa proconsularis,10.5910641,36.6497149,5,
Benia / El-Benia,Africa proconsularis,3.2923197,35.9287678,1,
Benia bel Recheb,Africa proconsularis,10.178666,33.203857,2,
"Bent el Bey, Hr.",Africa proconsularis,9.919167,36.326389,3,
Benzioun / Kef Bezioun / Kudiat el Batum / Hammam Nbail / Zattara,Africa proconsularis,7.533333,36.366667,45,
Berdadi,Africa proconsularis,,,2,
Beresgane,Africa proconsularis,,,3,
"Bernoussa, Hr.",Africa proconsularis,,,6,
Berzegan,Africa proconsularis,,,1,
"Bez, Hr. / Baz, Ayn / Vazi Sarara / Vazi Sarra",Africa proconsularis,9.530301,36.01617,29,
Bi'r al Hufayy / Bir el-Hufayy,Africa proconsularis,9.2,34.933333,1,
Bi'r al Wa'r / Bir el Uaar,Africa proconsularis,13.3225,32.0522222,3,
Biar Belouffa,Africa proconsularis,,,2,
"Biar Chounch, Hr. / Thugga",Africa proconsularis,9.2029686,36.4215808,7,
"Biar Chounch, Hr., iuxta / Thugga",Africa proconsularis,9.201148,36.4212186,1,
Bijga / Bischka / Bichga / Bisica Lucana,Africa proconsularis,9.634267,36.397969,45,
Bin Arus / Ben Arous,Africa proconsularis,10.224547,36.7515997,2,
Biniana,Africa proconsularis,,,5,
"Bint al Aryan / Bent el-Ariane, Hr. / Thugga",Africa proconsularis,9.1474265,36.433142,1,
"Bir Ben Abid / el Hadjra el Beïda, Hr. / Thugga",Africa proconsularis,9.3501804,36.514757,2,
Bir Bou Lartal / Bir Bu Lartal,Africa proconsularis,,,1,
"Bir Bou Loufah / Haira, Hr. / El-Haira / Al-Haira / Gasr el-Haira / el-Jarbi, Hr. / al-Jarbi, Hr. / Bi'r Bu Lufah / Silesua",Africa proconsularis,9.566695,34.066662,10,
